step,contactLevel,scenario,drone_direction,drone_horizontal_turn_angle,drone_horizontal_turn_rate,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
819,collision,headOn,3.141592653589793,20.0,10.0,0.9099999999999999,13.41,1828.7999999999997,1823.9,44.7,30.210455914879418
819,violation,headOn,3.141592653589793,20.0,10.0,0.9099999999999999,17.88,1828.7999999999997,1823.9,44.7,73.28846300566593
819,violation,headOn,3.141592653589793,20.0,10.0,0.9099999999999999,22.35,1828.7999999999997,1823.9,44.7,39.878458205336955
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,13.41,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,17.88,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,22.35,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,13.41,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,17.88,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,10.0,0.9099999999999999,22.35,1828.7999999999997,3655.7499999999995,44.7,
819,collision,headOn,3.141592653589793,20.0,65.0,0.9099999999999999,13.41,1828.7999999999997,1823.9,44.7,30.210455914879418
819,violation,headOn,3.141592653589793,20.0,65.0,0.9099999999999999,17.88,1828.7999999999997,1823.9,44.7,73.28846300566593
819,violation,headOn,3.141592653589793,20.0,65.0,0.9099999999999999,22.35,1828.7999999999997,1823.9,44.7,39.878458205336955
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,13.41,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,17.88,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,22.35,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,13.41,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,17.88,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,65.0,0.9099999999999999,22.35,1828.7999999999997,3655.7499999999995,44.7,
819,collision,headOn,3.141592653589793,20.0,120.0,0.9099999999999999,13.41,1828.7999999999997,1823.9,44.7,30.210455914879418
819,violation,headOn,3.141592653589793,20.0,120.0,0.9099999999999999,17.88,1828.7999999999997,1823.9,44.7,73.28846300566593
819,violation,headOn,3.141592653589793,20.0,120.0,0.9099999999999999,22.35,1828.7999999999997,1823.9,44.7,39.878458205336955
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,13.41,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,17.88,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,22.35,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,13.41,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,17.88,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,20.0,120.0,0.9099999999999999,22.35,1828.7999999999997,3655.7499999999995,44.7,
819,collision,headOn,3.141592653589793,35.0,10.0,0.9099999999999999,13.41,1828.7999999999997,1823.9,44.7,30.210455914879418
819,violation,headOn,3.141592653589793,35.0,10.0,0.9099999999999999,17.88,1828.7999999999997,1823.9,44.7,73.28846300566593
819,violation,headOn,3.141592653589793,35.0,10.0,0.9099999999999999,22.35,1828.7999999999997,1823.9,44.7,39.878458205336955
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,13.41,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,17.88,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,22.35,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,13.41,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,17.88,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,35.0,10.0,0.9099999999999999,22.35,1828.7999999999997,3655.7499999999995,44.7,
819,collision,headOn,3.141592653589793,35.0,65.0,0.9099999999999999,13.41,1828.7999999999997,1823.9,44.7,30.210455914879418
819,violation,headOn,3.141592653589793,35.0,65.0,0.9099999999999999,17.88,1828.7999999999997,1823.9,44.7,73.28846300566593
819,violation,headOn,3.141592653589793,35.0,65.0,0.9099999999999999,22.35,1828.7999999999997,1823.9,44.7,39.878458205336955
819,none,noContact,3.141592653589793,35.0,65.0,0.9099999999999999,13.41,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,65.0,0.9099999999999999,17.88,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,65.0,0.9099999999999999,22.35,1828.7999999999997,2739.8250000000003,44.7,
819,none,noContact,3.141592653589793,35.0,65.0,0.9099999999999999,13.41,1828.7999999999997,3655.7499999999995,44.7,
819,none,noContact,3.141592653589793,35.0,65.0,0.9099999999999999,17.88,1828.7999999999997,3655.7499999999995,44.7,
