,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
361,66.0,11.95,5300.0,0,183.33,154.0
362,66.0,11.95,5500.0,0,183.33,154.0
367,66.0,12.7,4300.0,0,183.33,154.0
368,66.0,12.7,4500.0,0,183.33,154.0
369,66.0,12.7,4700.0,0,183.33,154.0
370,66.0,12.7,4900.0,0,183.33,154.0
371,66.0,12.7,5100.0,0,183.33,154.0
372,66.0,12.7,5300.0,0,183.33,154.0
373,66.0,12.7,5500.0,0,183.33,154.0
378,66.0,13.45,4300.0,0,183.33,154.0
379,66.0,13.45,4500.0,0,183.33,154.0
380,66.0,13.45,4700.0,0,183.33,154.0
381,66.0,13.45,4900.0,0,183.33,154.0
382,66.0,13.45,5100.0,0,183.33,154.0
383,66.0,13.45,5300.0,0,183.33,154.0
384,66.0,13.45,5500.0,0,183.33,154.0
388,66.0,14.2,4100.0,0,183.33,154.0
389,66.0,14.2,4300.0,0,183.33,154.0
390,66.0,14.2,4500.0,0,183.33,154.0
391,66.0,14.2,4700.0,0,183.33,154.0
392,66.0,14.2,4900.0,0,183.33,154.0
393,66.0,14.2,5100.0,0,183.33,154.0
394,66.0,14.2,5300.0,0,183.33,154.0
395,66.0,14.2,5500.0,0,183.33,154.0
405,73.33,8.2,5300.0,0,183.33,154.0
406,73.33,8.2,5500.0,0,183.33,154.0
415,73.33,8.95,5100.0,0,183.33,154.0
416,73.33,8.95,5300.0,0,183.33,154.0
417,73.33,8.95,5500.0,0,183.33,154.0
424,73.33,9.7,4700.0,0,183.33,154.0
425,73.33,9.7,4900.0,0,183.33,154.0
426,73.33,9.7,5100.0,0,183.33,154.0
427,73.33,9.7,5300.0,0,183.33,154.0
428,73.33,9.7,5500.0,0,183.33,154.0
435,73.33,10.45,4700.0,0,183.33,154.0
436,73.33,10.45,4900.0,0,183.33,154.0
437,73.33,10.45,5100.0,0,183.33,154.0
438,73.33,10.45,5300.0,0,183.33,154.0
439,73.33,10.45,5500.0,0,183.33,154.0
445,73.33,11.2,4500.0,0,183.33,154.0
446,73.33,11.2,4700.0,0,183.33,154.0
447,73.33,11.2,4900.0,0,183.33,154.0
448,73.33,11.2,5100.0,0,183.33,154.0
449,73.33,11.2,5300.0,0,183.33,154.0
450,73.33,11.2,5500.0,0,183.33,154.0
455,73.33,11.95,4300.0,0,183.33,154.0
456,73.33,11.95,4500.0,0,183.33,154.0
457,73.33,11.95,4700.0,0,183.33,154.0
458,73.33,11.95,4900.0,0,183.33,154.0
459,73.33,11.95,5100.0,0,183.33,154.0
460,73.33,11.95,5300.0,0,183.33,154.0
461,73.33,11.95,5500.0,0,183.33,154.0
465,73.33,12.7,4100.0,0,183.33,154.0
466,73.33,12.7,4300.0,0,183.33,154.0
467,73.33,12.7,4500.0,0,183.33,154.0
468,73.33,12.7,4700.0,0,183.33,154.0
469,73.33,12.7,4900.0,0,183.33,154.0
470,73.33,12.7,5100.0,0,183.33,154.0
471,73.33,12.7,5300.0,0,183.33,154.0
472,73.33,12.7,5500.0,0,183.33,154.0
476,73.33,13.45,4100.0,0,183.33,154.0
