,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,drone_ascent_rate,is_violation
count,11880.0,11880.0,11880.0,11880.0,11880.0,11880.0,11880.0
mean,520.0,58.666000000000004,3250.0,168.66666666666666,6500.0,-11.2,0.5944444444444444
std,0.0,10.37086483556192,559.0405235116616,10.019012181918912,948.7232283196163,1.9365731804242026,0.49101989936453877
min,520.0,44.0,2500.0,154.0,5000.0,-14.2,0.0
25%,520.0,51.33,2875.0,159.87,5600.0,-12.7,0.0
50%,520.0,58.67,3250.0,168.665,6500.0,-11.2,1.0
75%,520.0,66.0,3625.0,177.47,7400.0,-9.7,1.0
max,520.0,73.33,4000.0,183.33,8000.0,-8.2,1.0
