,step,drone_speed,drone_y_pos,drone_horizontal_turn_rate,heli_speed,drone_response_distance,is_violation
count,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0
mean,1039.0,58.666,4750.0,13.0,168.66666666666663,6500.0,0.772159090909091
std,0.0,10.370919401111859,559.0434648626567,4.582792688383286,10.019064896221744,948.7282199577791,0.41945928383713926
min,1039.0,44.0,4000.0,6.0,154.0,5000.0,0.0
25%,1039.0,51.33,4375.0,9.5,159.87,5600.0,1.0
50%,1039.0,58.67,4750.0,13.0,168.665,6500.0,1.0
75%,1039.0,66.0,5125.0,16.5,177.47,7400.0,1.0
max,1039.0,73.33,5500.0,20.0,183.33,8000.0,1.0
