,step,drone_speed,drone_y_pos,drone_horizontal_turn_rate,heli_speed,drone_response_distance,is_violation
count,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0
mean,520.0,58.666,3250.0,13.0,168.66666666666663,5500.0,0.9117424242424242
std,0.0,10.370919401111859,559.0434648626567,4.582792688383286,10.019064896221744,1581.2136999296317,0.28368256360423577
min,520.0,44.0,2500.0,6.0,154.0,3000.0,0.0
25%,520.0,51.33,2875.0,9.5,159.87,4000.0,1.0
50%,520.0,58.67,3250.0,13.0,168.665,5500.0,1.0
75%,520.0,66.0,3625.0,16.5,177.47,7000.0,1.0
max,520.0,73.33,4000.0,20.0,183.33,8000.0,1.0
