relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-167.547008329006,8.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,10.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,12.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,14.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,16.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,18.0,520,66.0,2000.0,154.0,2000.0,0
-167.547008329006,20.0,520,66.0,2000.0,154.0,2000.0,0
-165.81440498340305,6.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,8.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,10.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,12.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,14.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,16.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,18.0,520,44.0,2000.0,159.87,2000.0,0
-165.81440498340305,20.0,520,44.0,2000.0,159.87,2000.0,0
-164.7973570783221,6.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,8.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,10.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,12.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,14.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,16.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,18.0,520,58.67,2000.0,154.0,2000.0,0
-164.7973570783221,20.0,520,58.67,2000.0,154.0,2000.0,0
-162.32919916022502,6.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,8.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,10.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,12.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,14.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,16.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,18.0,520,51.33,2000.0,154.0,2000.0,0
-162.32919916022502,20.0,520,51.33,2000.0,154.0,2000.0,0
-160.1624175641714,6.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,8.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,10.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,12.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,14.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,16.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,18.0,520,44.0,2000.0,154.0,2000.0,0
-160.1624175641714,20.0,520,44.0,2000.0,154.0,2000.0,0
