,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
239,44.0,13.45,8400.0,0,183.33,154.0
240,44.0,13.45,8600.0,0,183.33,154.0
241,44.0,13.45,8800.0,0,183.33,154.0
242,44.0,13.45,9000.0,0,183.33,154.0
243,44.0,13.45,9200.0,0,183.33,154.0
244,44.0,13.45,9400.0,0,183.33,154.0
245,44.0,13.45,9600.0,0,183.33,154.0
246,44.0,13.45,9800.0,0,183.33,154.0
247,44.0,13.45,10000.0,0,183.33,154.0
250,44.0,14.2,4400.0,0,183.33,154.0
251,44.0,14.2,4600.0,0,183.33,154.0
252,44.0,14.2,4800.0,0,183.33,154.0
253,44.0,14.2,5000.0,0,183.33,154.0
254,44.0,14.2,5200.0,0,183.33,154.0
255,44.0,14.2,5400.0,0,183.33,154.0
256,44.0,14.2,5600.0,0,183.33,154.0
257,44.0,14.2,5800.0,0,183.33,154.0
258,44.0,14.2,6000.0,0,183.33,154.0
259,44.0,14.2,6200.0,0,183.33,154.0
260,44.0,14.2,6400.0,0,183.33,154.0
261,44.0,14.2,6600.0,0,183.33,154.0
262,44.0,14.2,6800.0,0,183.33,154.0
263,44.0,14.2,7000.0,0,183.33,154.0
264,44.0,14.2,7200.0,0,183.33,154.0
265,44.0,14.2,7400.0,0,183.33,154.0
266,44.0,14.2,7600.0,0,183.33,154.0
267,44.0,14.2,7800.0,0,183.33,154.0
268,44.0,14.2,8000.0,0,183.33,154.0
269,44.0,14.2,8200.0,0,183.33,154.0
270,44.0,14.2,8400.0,0,183.33,154.0
271,44.0,14.2,8600.0,0,183.33,154.0
272,44.0,14.2,8800.0,0,183.33,154.0
273,44.0,14.2,9000.0,0,183.33,154.0
274,44.0,14.2,9200.0,0,183.33,154.0
275,44.0,14.2,9400.0,0,183.33,154.0
276,44.0,14.2,9600.0,0,183.33,154.0
277,44.0,14.2,9800.0,0,183.33,154.0
278,44.0,14.2,10000.0,0,183.33,154.0
289,51.33,8.2,6000.0,0,183.33,154.0
290,51.33,8.2,6200.0,0,183.33,154.0
291,51.33,8.2,6400.0,0,183.33,154.0
292,51.33,8.2,6600.0,0,183.33,154.0
293,51.33,8.2,6800.0,0,183.33,154.0
294,51.33,8.2,7000.0,0,183.33,154.0
295,51.33,8.2,7200.0,0,183.33,154.0
296,51.33,8.2,7400.0,0,183.33,154.0
297,51.33,8.2,7600.0,0,183.33,154.0
298,51.33,8.2,7800.0,0,183.33,154.0
299,51.33,8.2,8000.0,0,183.33,154.0
300,51.33,8.2,8200.0,0,183.33,154.0
301,51.33,8.2,8400.0,0,183.33,154.0
302,51.33,8.2,8600.0,0,183.33,154.0
303,51.33,8.2,8800.0,0,183.33,154.0
304,51.33,8.2,9000.0,0,183.33,154.0
305,51.33,8.2,9200.0,0,183.33,154.0
306,51.33,8.2,9400.0,0,183.33,154.0
307,51.33,8.2,9600.0,0,183.33,154.0
308,51.33,8.2,9800.0,0,183.33,154.0
309,51.33,8.2,10000.0,0,183.33,154.0
318,51.33,8.95,5600.0,0,183.33,154.0
319,51.33,8.95,5800.0,0,183.33,154.0
320,51.33,8.95,6000.0,0,183.33,154.0
321,51.33,8.95,6200.0,0,183.33,154.0
322,51.33,8.95,6400.0,0,183.33,154.0
323,51.33,8.95,6600.0,0,183.33,154.0
324,51.33,8.95,6800.0,0,183.33,154.0
325,51.33,8.95,7000.0,0,183.33,154.0
326,51.33,8.95,7200.0,0,183.33,154.0
327,51.33,8.95,7400.0,0,183.33,154.0
328,51.33,8.95,7600.0,0,183.33,154.0
329,51.33,8.95,7800.0,0,183.33,154.0
330,51.33,8.95,8000.0,0,183.33,154.0
331,51.33,8.95,8200.0,0,183.33,154.0
332,51.33,8.95,8400.0,0,183.33,154.0
333,51.33,8.95,8600.0,0,183.33,154.0
334,51.33,8.95,8800.0,0,183.33,154.0
335,51.33,8.95,9000.0,0,183.33,154.0
336,51.33,8.95,9200.0,0,183.33,154.0
337,51.33,8.95,9400.0,0,183.33,154.0
338,51.33,8.95,9600.0,0,183.33,154.0
339,51.33,8.95,9800.0,0,183.33,154.0
340,51.33,8.95,10000.0,0,183.33,154.0
347,51.33,9.7,5200.0,0,183.33,154.0
348,51.33,9.7,5400.0,0,183.33,154.0
349,51.33,9.7,5600.0,0,183.33,154.0
350,51.33,9.7,5800.0,0,183.33,154.0
351,51.33,9.7,6000.0,0,183.33,154.0
352,51.33,9.7,6200.0,0,183.33,154.0
353,51.33,9.7,6400.0,0,183.33,154.0
354,51.33,9.7,6600.0,0,183.33,154.0
355,51.33,9.7,6800.0,0,183.33,154.0
356,51.33,9.7,7000.0,0,183.33,154.0
357,51.33,9.7,7200.0,0,183.33,154.0
358,51.33,9.7,7400.0,0,183.33,154.0
359,51.33,9.7,7600.0,0,183.33,154.0
360,51.33,9.7,7800.0,0,183.33,154.0
361,51.33,9.7,8000.0,0,183.33,154.0
362,51.33,9.7,8200.0,0,183.33,154.0
363,51.33,9.7,8400.0,0,183.33,154.0
364,51.33,9.7,8600.0,0,183.33,154.0
365,51.33,9.7,8800.0,0,183.33,154.0
366,51.33,9.7,9000.0,0,183.33,154.0
367,51.33,9.7,9200.0,0,183.33,154.0
368,51.33,9.7,9400.0,0,183.33,154.0
369,51.33,9.7,9600.0,0,183.33,154.0
370,51.33,9.7,9800.0,0,183.33,154.0
371,51.33,9.7,10000.0,0,183.33,154.0
378,51.33,10.45,5200.0,0,183.33,154.0
379,51.33,10.45,5400.0,0,183.33,154.0
380,51.33,10.45,5600.0,0,183.33,154.0
381,51.33,10.45,5800.0,0,183.33,154.0
382,51.33,10.45,6000.0,0,183.33,154.0
383,51.33,10.45,6200.0,0,183.33,154.0
384,51.33,10.45,6400.0,0,183.33,154.0
385,51.33,10.45,6600.0,0,183.33,154.0
386,51.33,10.45,6800.0,0,183.33,154.0
387,51.33,10.45,7000.0,0,183.33,154.0
388,51.33,10.45,7200.0,0,183.33,154.0
389,51.33,10.45,7400.0,0,183.33,154.0
390,51.33,10.45,7600.0,0,183.33,154.0
391,51.33,10.45,7800.0,0,183.33,154.0
392,51.33,10.45,8000.0,0,183.33,154.0
393,51.33,10.45,8200.0,0,183.33,154.0
394,51.33,10.45,8400.0,0,183.33,154.0
395,51.33,10.45,8600.0,0,183.33,154.0
396,51.33,10.45,8800.0,0,183.33,154.0
397,51.33,10.45,9000.0,0,183.33,154.0
398,51.33,10.45,9200.0,0,183.33,154.0
399,51.33,10.45,9400.0,0,183.33,154.0
400,51.33,10.45,9600.0,0,183.33,154.0
401,51.33,10.45,9800.0,0,183.33,154.0
402,51.33,10.45,10000.0,0,183.33,154.0
407,51.33,11.2,4800.0,0,183.33,154.0
408,51.33,11.2,5000.0,0,183.33,154.0
409,51.33,11.2,5200.0,0,183.33,154.0
410,51.33,11.2,5400.0,0,183.33,154.0
411,51.33,11.2,5600.0,0,183.33,154.0
412,51.33,11.2,5800.0,0,183.33,154.0
413,51.33,11.2,6000.0,0,183.33,154.0
414,51.33,11.2,6200.0,0,183.33,154.0
415,51.33,11.2,6400.0,0,183.33,154.0
416,51.33,11.2,6600.0,0,183.33,154.0
417,51.33,11.2,6800.0,0,183.33,154.0
418,51.33,11.2,7000.0,0,183.33,154.0
419,51.33,11.2,7200.0,0,183.33,154.0
420,51.33,11.2,7400.0,0,183.33,154.0
421,51.33,11.2,7600.0,0,183.33,154.0
422,51.33,11.2,7800.0,0,183.33,154.0
423,51.33,11.2,8000.0,0,183.33,154.0
424,51.33,11.2,8200.0,0,183.33,154.0
425,51.33,11.2,8400.0,0,183.33,154.0
426,51.33,11.2,8600.0,0,183.33,154.0
427,51.33,11.2,8800.0,0,183.33,154.0
428,51.33,11.2,9000.0,0,183.33,154.0
429,51.33,11.2,9200.0,0,183.33,154.0
430,51.33,11.2,9400.0,0,183.33,154.0
431,51.33,11.2,9600.0,0,183.33,154.0
432,51.33,11.2,9800.0,0,183.33,154.0
433,51.33,11.2,10000.0,0,183.33,154.0
437,51.33,11.95,4600.0,0,183.33,154.0
438,51.33,11.95,4800.0,0,183.33,154.0
439,51.33,11.95,5000.0,0,183.33,154.0
440,51.33,11.95,5200.0,0,183.33,154.0
441,51.33,11.95,5400.0,0,183.33,154.0
442,51.33,11.95,5600.0,0,183.33,154.0
443,51.33,11.95,5800.0,0,183.33,154.0
444,51.33,11.95,6000.0,0,183.33,154.0
445,51.33,11.95,6200.0,0,183.33,154.0
446,51.33,11.95,6400.0,0,183.33,154.0
447,51.33,11.95,6600.0,0,183.33,154.0
448,51.33,11.95,6800.0,0,183.33,154.0
449,51.33,11.95,7000.0,0,183.33,154.0
450,51.33,11.95,7200.0,0,183.33,154.0
451,51.33,11.95,7400.0,0,183.33,154.0
452,51.33,11.95,7600.0,0,183.33,154.0
453,51.33,11.95,7800.0,0,183.33,154.0
454,51.33,11.95,8000.0,0,183.33,154.0
455,51.33,11.95,8200.0,0,183.33,154.0
456,51.33,11.95,8400.0,0,183.33,154.0
457,51.33,11.95,8600.0,0,183.33,154.0
458,51.33,11.95,8800.0,0,183.33,154.0
459,51.33,11.95,9000.0,0,183.33,154.0
460,51.33,11.95,9200.0,0,183.33,154.0
461,51.33,11.95,9400.0,0,183.33,154.0
462,51.33,11.95,9600.0,0,183.33,154.0
463,51.33,11.95,9800.0,0,183.33,154.0
464,51.33,11.95,10000.0,0,183.33,154.0
468,51.33,12.7,4600.0,0,183.33,154.0
469,51.33,12.7,4800.0,0,183.33,154.0
470,51.33,12.7,5000.0,0,183.33,154.0
471,51.33,12.7,5200.0,0,183.33,154.0
472,51.33,12.7,5400.0,0,183.33,154.0
473,51.33,12.7,5600.0,0,183.33,154.0
474,51.33,12.7,5800.0,0,183.33,154.0
475,51.33,12.7,6000.0,0,183.33,154.0
476,51.33,12.7,6200.0,0,183.33,154.0
477,51.33,12.7,6400.0,0,183.33,154.0
478,51.33,12.7,6600.0,0,183.33,154.0
479,51.33,12.7,6800.0,0,183.33,154.0
480,51.33,12.7,7000.0,0,183.33,154.0
481,51.33,12.7,7200.0,0,183.33,154.0
482,51.33,12.7,7400.0,0,183.33,154.0
483,51.33,12.7,7600.0,0,183.33,154.0
484,51.33,12.7,7800.0,0,183.33,154.0
485,51.33,12.7,8000.0,0,183.33,154.0
486,51.33,12.7,8200.0,0,183.33,154.0
487,51.33,12.7,8400.0,0,183.33,154.0
488,51.33,12.7,8600.0,0,183.33,154.0
489,51.33,12.7,8800.0,0,183.33,154.0
490,51.33,12.7,9000.0,0,183.33,154.0
491,51.33,12.7,9200.0,0,183.33,154.0
492,51.33,12.7,9400.0,0,183.33,154.0
493,51.33,12.7,9600.0,0,183.33,154.0
494,51.33,12.7,9800.0,0,183.33,154.0
495,51.33,12.7,10000.0,0,183.33,154.0
498,51.33,13.45,4400.0,0,183.33,154.0
499,51.33,13.45,4600.0,0,183.33,154.0
500,51.33,13.45,4800.0,0,183.33,154.0
501,51.33,13.45,5000.0,0,183.33,154.0
502,51.33,13.45,5200.0,0,183.33,154.0
503,51.33,13.45,5400.0,0,183.33,154.0
504,51.33,13.45,5600.0,0,183.33,154.0
505,51.33,13.45,5800.0,0,183.33,154.0
506,51.33,13.45,6000.0,0,183.33,154.0
507,51.33,13.45,6200.0,0,183.33,154.0
508,51.33,13.45,6400.0,0,183.33,154.0
509,51.33,13.45,6600.0,0,183.33,154.0
510,51.33,13.45,6800.0,0,183.33,154.0
511,51.33,13.45,7000.0,0,183.33,154.0
512,51.33,13.45,7200.0,0,183.33,154.0
513,51.33,13.45,7400.0,0,183.33,154.0
514,51.33,13.45,7600.0,0,183.33,154.0
515,51.33,13.45,7800.0,0,183.33,154.0
516,51.33,13.45,8000.0,0,183.33,154.0
517,51.33,13.45,8200.0,0,183.33,154.0
518,51.33,13.45,8400.0,0,183.33,154.0
519,51.33,13.45,8600.0,0,183.33,154.0
520,51.33,13.45,8800.0,0,183.33,154.0
521,51.33,13.45,9000.0,0,183.33,154.0
522,51.33,13.45,9200.0,0,183.33,154.0
523,51.33,13.45,9400.0,0,183.33,154.0
524,51.33,13.45,9600.0,0,183.33,154.0
525,51.33,13.45,9800.0,0,183.33,154.0
526,51.33,13.45,10000.0,0,183.33,154.0
528,51.33,14.2,4200.0,0,183.33,154.0
529,51.33,14.2,4400.0,0,183.33,154.0
530,51.33,14.2,4600.0,0,183.33,154.0
531,51.33,14.2,4800.0,0,183.33,154.0
532,51.33,14.2,5000.0,0,183.33,154.0
533,51.33,14.2,5200.0,0,183.33,154.0
534,51.33,14.2,5400.0,0,183.33,154.0
535,51.33,14.2,5600.0,0,183.33,154.0
536,51.33,14.2,5800.0,0,183.33,154.0
537,51.33,14.2,6000.0,0,183.33,154.0
538,51.33,14.2,6200.0,0,183.33,154.0
539,51.33,14.2,6400.0,0,183.33,154.0
540,51.33,14.2,6600.0,0,183.33,154.0
541,51.33,14.2,6800.0,0,183.33,154.0
542,51.33,14.2,7000.0,0,183.33,154.0
543,51.33,14.2,7200.0,0,183.33,154.0
544,51.33,14.2,7400.0,0,183.33,154.0
545,51.33,14.2,7600.0,0,183.33,154.0
546,51.33,14.2,7800.0,0,183.33,154.0
547,51.33,14.2,8000.0,0,183.33,154.0
548,51.33,14.2,8200.0,0,183.33,154.0
549,51.33,14.2,8400.0,0,183.33,154.0
550,51.33,14.2,8600.0,0,183.33,154.0
551,51.33,14.2,8800.0,0,183.33,154.0
552,51.33,14.2,9000.0,0,183.33,154.0
553,51.33,14.2,9200.0,0,183.33,154.0
554,51.33,14.2,9400.0,0,183.33,154.0
555,51.33,14.2,9600.0,0,183.33,154.0
556,51.33,14.2,9800.0,0,183.33,154.0
557,51.33,14.2,10000.0,0,183.33,154.0
567,58.67,8.2,5800.0,0,183.33,154.0
568,58.67,8.2,6000.0,0,183.33,154.0
569,58.67,8.2,6200.0,0,183.33,154.0
570,58.67,8.2,6400.0,0,183.33,154.0
571,58.67,8.2,6600.0,0,183.33,154.0
572,58.67,8.2,6800.0,0,183.33,154.0
573,58.67,8.2,7000.0,0,183.33,154.0
574,58.67,8.2,7200.0,0,183.33,154.0
575,58.67,8.2,7400.0,0,183.33,154.0
576,58.67,8.2,7600.0,0,183.33,154.0
577,58.67,8.2,7800.0,0,183.33,154.0
578,58.67,8.2,8000.0,0,183.33,154.0
579,58.67,8.2,8200.0,0,183.33,154.0
580,58.67,8.2,8400.0,0,183.33,154.0
581,58.67,8.2,8600.0,0,183.33,154.0
582,58.67,8.2,8800.0,0,183.33,154.0
583,58.67,8.2,9000.0,0,183.33,154.0
584,58.67,8.2,9200.0,0,183.33,154.0
585,58.67,8.2,9400.0,0,183.33,154.0
586,58.67,8.2,9600.0,0,183.33,154.0
587,58.67,8.2,9800.0,0,183.33,154.0
588,58.67,8.2,10000.0,0,183.33,154.0
596,58.67,8.95,5400.0,0,183.33,154.0
597,58.67,8.95,5600.0,0,183.33,154.0
598,58.67,8.95,5800.0,0,183.33,154.0
599,58.67,8.95,6000.0,0,183.33,154.0
600,58.67,8.95,6200.0,0,183.33,154.0
601,58.67,8.95,6400.0,0,183.33,154.0
602,58.67,8.95,6600.0,0,183.33,154.0
603,58.67,8.95,6800.0,0,183.33,154.0
604,58.67,8.95,7000.0,0,183.33,154.0
605,58.67,8.95,7200.0,0,183.33,154.0
606,58.67,8.95,7400.0,0,183.33,154.0
607,58.67,8.95,7600.0,0,183.33,154.0
608,58.67,8.95,7800.0,0,183.33,154.0
609,58.67,8.95,8000.0,0,183.33,154.0
