,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,drone_ascent_rate,is_violation
count,17424.0,17424.0,17424.0,17424.0,17424.0,17424.0,17424.0
mean,819.0,58.66666666666668,6750.0,165.0,6500.0,-18.0,0.3294880624426079
std,0.0,10.018878003811619,559.0330366458926,12.523109333177484,2213.657886269863,6.324736817913894,0.4700408059599313
min,819.0,44.0,6000.0,146.67,3000.0,-28.0,0.0
25%,819.0,49.87,6375.0,154.0,4400.0,-24.0,0.0
50%,819.0,58.665,6750.0,165.0,6500.0,-18.0,0.0
75%,819.0,67.47,7125.0,176.0,8600.0,-12.0,1.0
max,819.0,73.33,7500.0,183.33,10000.0,-8.0,1.0
