,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,drone_ascent_rate,is_violation
count,8712.0,8712.0,8712.0,8712.0,8712.0,8712.0,8712.0
mean,819.0,58.66666666666668,6500.0,165.0,6500.0,-18.0,0.1617309458218549
std,0.0,10.019165534928607,500.02869852204975,12.523468733063714,2213.7214158910865,6.32491833111739,0.36822494555796764
min,819.0,44.0,6000.0,146.67,3000.0,-28.0,0.0
25%,819.0,49.87,6000.0,154.0,4400.0,-24.0,0.0
50%,819.0,58.665,6500.0,165.0,6500.0,-18.0,0.0
75%,819.0,67.47,7000.0,176.0,8600.0,-12.0,0.0
max,819.0,73.33,7000.0,183.33,10000.0,-8.0,1.0
