,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,drone_ascent_rate,is_violation
count,17424.0,17424.0,17424.0,17424.0,17424.0,17424.0,17424.0
mean,1364.0,58.66666666666668,5250.0,165.0,6500.0,-18.0,0.09756657483930212
std,0.0,10.018878003811619,559.0330366458926,12.523109333177484,2213.657886269863,6.324736817913894,0.2967362327478
min,1364.0,44.0,4500.0,146.67,3000.0,-28.0,0.0
25%,1364.0,49.87,4875.0,154.0,4400.0,-24.0,0.0
50%,1364.0,58.665,5250.0,165.0,6500.0,-18.0,0.0
75%,1364.0,67.47,5625.0,176.0,8600.0,-12.0,0.0
max,1364.0,73.33,6000.0,183.33,10000.0,-8.0,1.0
