,step,drone_speed,drone_horizontal_turn_rate,drone_x_pos,heli_speed,drone_response_distance,is_violation
count,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0,10560.0
mean,520.0,58.666,13.0,4000.0,168.66666666666663,3000.0,0.20833333333333334
std,0.0,10.370919401111859,4.582792688383286,1118.0869297253134,10.019064896221744,632.4854799718527,0.406135661397192
min,520.0,44.0,6.0,2500.0,154.0,2000.0,0.0
25%,520.0,51.33,9.5,3250.0,159.87,2400.0,0.0
50%,520.0,58.67,13.0,4000.0,168.665,3000.0,0.0
75%,520.0,66.0,16.5,4750.0,177.47,3600.0,0.0
max,520.0,73.33,20.0,5500.0,183.33,4000.0,1.0
