,drone_speed,drone_horizontal_turn_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
324,66.0,16.0,6500.0,0,183.33,154.0
325,66.0,16.0,6800.0,0,183.33,154.0
326,66.0,16.0,7100.0,0,183.33,154.0
327,66.0,16.0,7400.0,0,183.33,154.0
328,66.0,16.0,7700.0,0,183.33,154.0
329,66.0,16.0,8000.0,0,183.33,154.0
333,66.0,18.0,5900.0,0,183.33,154.0
334,66.0,18.0,6200.0,0,183.33,154.0
335,66.0,18.0,6500.0,0,183.33,154.0
336,66.0,18.0,6800.0,0,183.33,154.0
337,66.0,18.0,7100.0,0,183.33,154.0
338,66.0,18.0,7400.0,0,183.33,154.0
339,66.0,18.0,7700.0,0,183.33,154.0
340,66.0,18.0,8000.0,0,183.33,154.0
344,66.0,20.0,5900.0,0,183.33,154.0
345,66.0,20.0,6200.0,0,183.33,154.0
346,66.0,20.0,6500.0,0,183.33,154.0
347,66.0,20.0,6800.0,0,183.33,154.0
348,66.0,20.0,7100.0,0,183.33,154.0
349,66.0,20.0,7400.0,0,183.33,154.0
350,66.0,20.0,7700.0,0,183.33,154.0
351,66.0,20.0,8000.0,0,183.33,154.0
353,73.33,6.0,5300.0,0,183.33,154.0
354,73.33,6.0,5600.0,0,183.33,154.0
355,73.33,6.0,5900.0,0,183.33,154.0
356,73.33,6.0,6200.0,0,183.33,154.0
357,73.33,6.0,6500.0,0,183.33,154.0
358,73.33,6.0,6800.0,0,183.33,154.0
359,73.33,6.0,7100.0,0,183.33,154.0
360,73.33,6.0,7400.0,0,183.33,154.0
361,73.33,6.0,7700.0,0,183.33,154.0
362,73.33,6.0,8000.0,0,183.33,154.0
364,73.33,8.0,5300.0,0,183.33,154.0
365,73.33,8.0,5600.0,0,183.33,154.0
366,73.33,8.0,5900.0,0,183.33,154.0
367,73.33,8.0,6200.0,0,183.33,154.0
368,73.33,8.0,6500.0,0,183.33,154.0
369,73.33,8.0,6800.0,0,183.33,154.0
370,73.33,8.0,7100.0,0,183.33,154.0
371,73.33,8.0,7400.0,0,183.33,154.0
372,73.33,8.0,7700.0,0,183.33,154.0
373,73.33,8.0,8000.0,0,183.33,154.0
375,73.33,10.0,5300.0,0,183.33,154.0
376,73.33,10.0,5600.0,0,183.33,154.0
377,73.33,10.0,5900.0,0,183.33,154.0
378,73.33,10.0,6200.0,0,183.33,154.0
379,73.33,10.0,6500.0,0,183.33,154.0
380,73.33,10.0,6800.0,0,183.33,154.0
381,73.33,10.0,7100.0,0,183.33,154.0
382,73.33,10.0,7400.0,0,183.33,154.0
383,73.33,10.0,7700.0,0,183.33,154.0
384,73.33,10.0,8000.0,0,183.33,154.0
386,73.33,12.0,5300.0,0,183.33,154.0
387,73.33,12.0,5600.0,0,183.33,154.0
388,73.33,12.0,5900.0,0,183.33,154.0
389,73.33,12.0,6200.0,0,183.33,154.0
390,73.33,12.0,6500.0,0,183.33,154.0
391,73.33,12.0,6800.0,0,183.33,154.0
392,73.33,12.0,7100.0,0,183.33,154.0
393,73.33,12.0,7400.0,0,183.33,154.0
394,73.33,12.0,7700.0,0,183.33,154.0
395,73.33,12.0,8000.0,0,183.33,154.0
397,73.33,14.0,5300.0,0,183.33,154.0
398,73.33,14.0,5600.0,0,183.33,154.0
399,73.33,14.0,5900.0,0,183.33,154.0
400,73.33,14.0,6200.0,0,183.33,154.0
401,73.33,14.0,6500.0,0,183.33,154.0
402,73.33,14.0,6800.0,0,183.33,154.0
403,73.33,14.0,7100.0,0,183.33,154.0
404,73.33,14.0,7400.0,0,183.33,154.0
405,73.33,14.0,7700.0,0,183.33,154.0
406,73.33,14.0,8000.0,0,183.33,154.0
408,73.33,16.0,5300.0,0,183.33,154.0
409,73.33,16.0,5600.0,0,183.33,154.0
410,73.33,16.0,5900.0,0,183.33,154.0
411,73.33,16.0,6200.0,0,183.33,154.0
412,73.33,16.0,6500.0,0,183.33,154.0
413,73.33,16.0,6800.0,0,183.33,154.0
