relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-114.39999999999999,18.0,1039,51.33,2500.0,165.73,5000.0,0
-114.39999999999999,20.0,1039,51.33,2500.0,165.73,5000.0,0
-112.92999999999999,6.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,8.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,10.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,12.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,14.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,16.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,18.0,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,20.0,1039,58.67,2500.0,171.6,5000.0,0
-111.47,6.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,8.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,10.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,12.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,14.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,16.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,18.0,1039,66.0,2500.0,177.47,5000.0,0
-111.47,20.0,1039,66.0,2500.0,177.47,5000.0,0
-110.00000000000001,6.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,8.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,10.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,12.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,14.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,16.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,18.0,1039,73.33,2500.0,183.33,5000.0,0
-110.00000000000001,20.0,1039,73.33,2500.0,183.33,5000.0,0
-110.0,6.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,8.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,10.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,12.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,14.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,16.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,18.0,1039,44.0,2500.0,154.0,5000.0,0
-110.0,20.0,1039,44.0,2500.0,154.0,5000.0,0
-108.54,6.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,8.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,10.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,12.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,14.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,16.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,18.0,1039,51.33,2500.0,159.87,5000.0,0
-108.54,20.0,1039,51.33,2500.0,159.87,5000.0,0
-107.05999999999999,6.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,8.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,10.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,12.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,14.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,16.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,18.0,1039,58.67,2500.0,165.73,5000.0,0
-107.05999999999999,20.0,1039,58.67,2500.0,165.73,5000.0,0
-105.6,6.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,8.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,10.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,12.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,14.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,16.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,18.0,1039,66.0,2500.0,171.6,5000.0,0
-105.6,20.0,1039,66.0,2500.0,171.6,5000.0,0
-104.14,6.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,8.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,10.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,12.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,14.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,16.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,18.0,1039,73.33,2500.0,177.47,5000.0,0
-104.14,20.0,1039,73.33,2500.0,177.47,5000.0,0
-102.67,6.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,8.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,10.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,12.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,14.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,16.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,18.0,1039,51.33,2500.0,154.0,5000.0,0
-102.67,20.0,1039,51.33,2500.0,154.0,5000.0,0
-101.2,6.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,8.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,10.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,12.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,14.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,16.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,18.0,1039,58.67,2500.0,159.87,5000.0,0
-101.2,20.0,1039,58.67,2500.0,159.87,5000.0,0
-99.72999999999999,6.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,8.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,10.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,12.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,14.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,16.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,18.0,1039,66.0,2500.0,165.73,5000.0,0
-99.72999999999999,20.0,1039,66.0,2500.0,165.73,5000.0,0
-98.27,6.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,8.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,10.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,12.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,14.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,16.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,18.0,1039,73.33,2500.0,171.6,5000.0,0
-98.27,20.0,1039,73.33,2500.0,171.6,5000.0,0
-95.33,6.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,8.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,10.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,12.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,14.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,16.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,18.0,1039,58.67,2500.0,154.0,5000.0,0
-95.33,20.0,1039,58.67,2500.0,154.0,5000.0,0
-93.87,6.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,8.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,10.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,12.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,14.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,16.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,18.0,1039,66.0,2500.0,159.87,5000.0,0
-93.87,20.0,1039,66.0,2500.0,159.87,5000.0,0
-92.39999999999999,6.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,8.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,10.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,12.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,14.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,16.0,1039,73.33,2500.0,165.73,5000.0,0
-92.39999999999999,18.0,1039,73.33,2500.0,165.73,5000.0,0
