step,contactLevel,scenario,drone_ascent_rate,drone_direction,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
819,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,5980.0,100.000200606,1703.7834956841261
819,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,5980.0,100.000200606,2200.118652072622
819,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,5980.0,100.000200606,2647.2386651036004
819,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,8985.0,100.000200606,1192.8203537463125
819,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,8985.0,100.000200606,615.0293146613817
819,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,8985.0,100.000200606,159.7459810564303
819,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,11990.0,100.000200606,
819,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,11990.0,100.000200606,3376.701631712981
819,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,11990.0,100.000200606,2730.9057856053078
819,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,5980.0,100.000200606,1990.6958903453617
819,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,5980.0,100.000200606,2571.5997159315407
819,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,5980.0,100.000200606,3096.0882535358787
819,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,8985.0,100.000200606,907.537290941186
819,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,8985.0,100.000200606,273.70309182805215
819,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,8985.0,100.000200606,430.20216058828953
819,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,11990.0,100.000200606,
819,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,11990.0,100.000200606,3008.8575816249486
819,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,11990.0,100.000200606,2286.387986476819
728,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,5980.0,112.50022568175,1529.324024985185
728,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,5980.0,112.50022568175,1985.9034385753826
728,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,5980.0,112.50022568175,2405.0147636639485
728,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,8985.0,112.50022568175,1386.3771300859046
728,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,8985.0,112.50022568175,861.9086551854111
728,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,8985.0,112.50022568175,372.8599670570103
728,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,11990.0,112.50022568175,
728,none,noContact,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,11990.0,112.50022568175,
728,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,11990.0,112.50022568175,3087.8149672499903
728,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,5980.0,112.50022568175,1786.5279754902665
728,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,5980.0,112.50022568175,2320.873032043702
728,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,5980.0,112.50022568175,2811.8368918953524
728,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,8985.0,112.50022568175,1131.5814441922394
728,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,8985.0,112.50022568175,535.3483331761887
728,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,8985.0,112.50022568175,150.31786825104584
728,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,11990.0,112.50022568175,
728,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,11990.0,112.50022568175,3338.2884198663355
728,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,11990.0,112.50022568175,2683.3999424370586
655,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,5980.0,125.0002507575,1386.5966581524735
655,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,5980.0,125.0002507575,1807.8331708969233
655,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,5980.0,125.0002507575,2200.2901782199965
655,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,8985.0,125.0002507575,1545.3386272339453
655,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,8985.0,125.0002507575,1066.3399925387992
655,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,8985.0,125.0002507575,606.0283055853254
655,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,6000.0,11990.0,125.0002507575,
655,none,noContact,8.0,4.71238898038469,3000.0,40.000080242399996,6000.0,11990.0,125.0002507575,
655,none,converging,8.0,4.71238898038469,3000.0,50.000100303,6000.0,11990.0,125.0002507575,3377.9888671262083
655,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,5980.0,125.0002507575,1619.2952617679457
655,none,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,5980.0,125.0002507575,2112.3883795271227
655,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,5980.0,125.0002507575,2571.7316927641737
655,violation,converging,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,8985.0,125.0002507575,1313.9329331899955
655,violation,converging,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,8985.0,125.0002507575,763.6651754480656
655,violation,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,8985.0,125.0002507575,255.16551829556283
655,none,noContact,8.0,4.71238898038469,3000.0,30.0000601818,7000.0,11990.0,125.0002507575,
655,none,noContact,8.0,4.71238898038469,3000.0,40.000080242399996,7000.0,11990.0,125.0002507575,
655,none,converging,8.0,4.71238898038469,3000.0,50.000100303,7000.0,11990.0,125.0002507575,3008.6155946969475
819,violation,converging,8.0,4.71238898038469,3700.0,30.0000601818,6000.0,5980.0,100.000200606,1704.0233571577241
819,none,converging,8.0,4.71238898038469,3700.0,40.000080242399996,6000.0,5980.0,100.000200606,2200.0052795341644
819,none,converging,8.0,4.71238898038469,3700.0,50.000100303,6000.0,5980.0,100.000200606,2646.760088875817
819,violation,converging,8.0,4.71238898038469,3700.0,30.0000601818,6000.0,8985.0,100.000200606,1201.298159524559
