step,contactLevel,scenario,bounds_x,drone_direction,drone_horizontal_turn_angle,drone_horizontal_turn_rate,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,force_right_turn,heli_speed,min_dist
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,4500.0,1.0,100.000200606,2098.7790182274107
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,4500.0,1.0,100.000200606,2326.2879865888035
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,4500.0,1.0,100.000200606,2237.6135411201767
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,6000.0,1.0,100.000200606,862.6528524870062
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,6000.0,1.0,100.000200606,1155.801354823965
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,6000.0,1.0,100.000200606,1339.8034435161328
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,7500.0,1.0,100.000200606,692.1078027008438
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,7500.0,1.0,100.000200606,370.9123525660897
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,7500.0,1.0,100.000200606,341.3886834130644
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,4500.0,1.0,100.000200606,2155.5511279862662
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,4500.0,1.0,100.000200606,2371.1854360296893
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,4500.0,1.0,100.000200606,2425.1719946418384
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,6000.0,1.0,100.000200606,917.8198618702322
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,6000.0,1.0,100.000200606,1198.0090111655816
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,6000.0,1.0,100.000200606,1465.5265200231077
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,7500.0,1.0,100.000200606,637.0060372157188
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,7500.0,1.0,100.000200606,329.2809486977929
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,7500.0,1.0,100.000200606,127.64135545268054
1160,none,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,30.0000601818,10000.0,4500.0,1.0,100.000200606,2175.0650970400907
1160,none,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,40.000080242399996,10000.0,4500.0,1.0,100.000200606,2388.449920382314
1160,none,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,50.000100303,10000.0,4500.0,1.0,100.000200606,2485.6674710993025
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,30.0000601818,10000.0,6000.0,1.0,100.000200606,938.930961108384
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,40.000080242399996,10000.0,6000.0,1.0,100.000200606,1217.9891431392812
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,50.000100303,10000.0,6000.0,1.0,100.000200606,1480.5207735710721
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,30.0000601818,10000.0,7500.0,1.0,100.000200606,615.8368730314594
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,40.000080242399996,10000.0,7500.0,1.0,100.000200606,308.78199594515866
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,20.0,3000.0,50.000100303,10000.0,7500.0,1.0,100.000200606,61.600204937553826
1031,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,4500.0,1.0,112.50022568175,2043.939462547112
1031,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,4500.0,1.0,112.50022568175,2218.7065076050253
1031,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,4500.0,1.0,112.50022568175,2398.1394060715847
1031,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,6000.0,1.0,112.50022568175,744.2757935374729
1031,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,6000.0,1.0,112.50022568175,1019.1283281740302
1031,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,6000.0,1.0,112.50022568175,1295.5233973705622
1031,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,7500.0,1.0,112.50022568175,817.3853744563098
1031,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,7500.0,1.0,112.50022568175,565.2001709729808
