step,contactLevel,scenario,drone_direction,drone_horizontal_turn_angle,drone_horizontal_turn_rate,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,force_right_turn,heli_speed,min_dist
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,5980.0,1.0,100.000200606,1710.298424216423
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,5980.0,1.0,100.000200606,2204.3391024015573
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,5980.0,1.0,100.000200606,2649.9009126565975
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,8985.0,1.0,100.000200606,1581.4350681292306
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,8985.0,1.0,100.000200606,1115.0349987558307
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,8985.0,1.0,100.000200606,741.8280333781707
819,none,noContact,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,11990.0,1.0,100.000200606,
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,11990.0,1.0,100.000200606,3380.0892519325243
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,11990.0,1.0,100.000200606,2873.9124148018277
819,violation,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,5980.0,1.0,100.000200606,1710.298424216423
819,none,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,5980.0,1.0,100.000200606,2204.3391024015573
819,none,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,5980.0,1.0,100.000200606,2649.9009126565975
819,violation,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,8985.0,1.0,100.000200606,1813.2786463704665
819,violation,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,8985.0,1.0,100.000200606,1421.8496956852728
819,violation,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,8985.0,1.0,100.000200606,1126.5692898918567
819,none,noContact,4.71238898038469,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,11990.0,1.0,100.000200606,
819,none,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,11990.0,1.0,100.000200606,3380.0892519325243
819,none,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,11990.0,1.0,100.000200606,2968.1060153263047
819,violation,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,5980.0,1.0,100.000200606,1710.298424216423
819,none,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,5980.0,1.0,100.000200606,2204.3391024015573
819,none,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,5980.0,1.0,100.000200606,2649.9009126565975
819,violation,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,8985.0,1.0,100.000200606,1875.5596089514988
819,violation,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,8985.0,1.0,100.000200606,1505.7493496936388
819,violation,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,8985.0,1.0,100.000200606,1231.2696254642635
819,none,noContact,4.71238898038469,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,11990.0,1.0,100.000200606,
819,none,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,11990.0,1.0,100.000200606,3380.0892519325243
819,none,converging,4.71238898038469,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,11990.0,1.0,100.000200606,3022.2507744373574
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,7000.0,5980.0,1.0,100.000200606,1997.648349313329
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,7000.0,5980.0,1.0,100.000200606,2575.7207109905494
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,7000.0,5980.0,1.0,100.000200606,3097.1032181623273
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,7000.0,8985.0,1.0,100.000200606,1277.8824947647915
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,7000.0,8985.0,1.0,100.000200606,790.9667002578605
819,violation,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,7000.0,8985.0,1.0,100.000200606,345.1171999707863
819,none,noContact,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,7000.0,11990.0,1.0,100.000200606,
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,7000.0,11990.0,1.0,100.000200606,3064.0130880285114
819,none,converging,4.71238898038469,1.5707963267948966,6.000000000000001,3000.0,50.000100303,7000.0,11990.0,1.0,100.000200606,2552.398067451571
819,violation,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,30.0000601818,7000.0,5980.0,1.0,100.000200606,1997.648349313329
819,none,converging,4.71238898038469,1.5707963267948966,13.0,3000.0,40.000080242399996,7000.0,5980.0,1.0,100.000200606,2575.7207109905494
