step,contactLevel,scenario,drone_direction,drone_horizontal_turn_angle,drone_horizontal_turn_rate,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,force_right_turn,heli_speed,min_dist
819,none,noContact,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,20.0,1.0,100.000200606,
819,none,noContact,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,20.0,1.0,100.000200606,
819,none,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,20.0,1.0,100.000200606,2674.7617871899743
819,violation,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,3020.0,1.0,100.000200606,1514.8318024229056
819,violation,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,3020.0,1.0,100.000200606,1108.582469064525
819,violation,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,3020.0,1.0,100.000200606,699.3944207813765
819,violation,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,6000.0,6020.0,1.0,100.000200606,1710.298424216423
819,none,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,6000.0,6020.0,1.0,100.000200606,2204.3391024015573
819,none,converging,1.5707963267948966,1.5707963267948966,6.000000000000001,3000.0,50.000100303,6000.0,6020.0,1.0,100.000200606,2649.900912656617
819,none,noContact,1.5707963267948966,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,20.0,1.0,100.000200606,
819,none,noContact,1.5707963267948966,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,20.0,1.0,100.000200606,
819,none,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,20.0,1.0,100.000200606,2790.826345994548
819,violation,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,3020.0,1.0,100.000200606,1752.8282562895365
819,violation,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,3020.0,1.0,100.000200606,1431.6341671123055
819,violation,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,3020.0,1.0,100.000200606,1111.7177580662476
819,violation,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,30.0000601818,6000.0,6020.0,1.0,100.000200606,1710.298424216423
819,none,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,40.000080242399996,6000.0,6020.0,1.0,100.000200606,2204.3391024015573
819,none,converging,1.5707963267948966,1.5707963267948966,13.0,3000.0,50.000100303,6000.0,6020.0,1.0,100.000200606,2649.900912656617
819,none,noContact,1.5707963267948966,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,20.0,1.0,100.000200606,
819,none,noContact,1.5707963267948966,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,20.0,1.0,100.000200606,
819,none,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,20.0,1.0,100.000200606,2859.1894398126337
819,violation,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,3020.0,1.0,100.000200606,1808.9653341296682
819,violation,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,3020.0,1.0,100.000200606,1500.7464370808461
819,violation,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,3020.0,1.0,100.000200606,1189.6015966914924
819,violation,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,30.0000601818,6000.0,6020.0,1.0,100.000200606,1710.298424216423
819,none,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,40.000080242399996,6000.0,6020.0,1.0,100.000200606,2204.3391024015573
819,none,converging,1.5707963267948966,1.5707963267948966,20.0,3000.0,50.000100303,6000.0,6020.0,1.0,100.000200606,2649.900912656617
