step,contactLevel,scenario,bounds_x,drone_direction,drone_horizontal_turn_angle,drone_horizontal_turn_rate,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,4500.0,100.000200606,2098.7790182274107
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,4500.0,100.000200606,2326.2879865888035
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,4500.0,100.000200606,2237.6135411201767
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,6000.0,100.000200606,862.6528524870062
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,6000.0,100.000200606,1155.801354823965
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,6000.0,100.000200606,1339.8034435161328
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,30.0000601818,10000.0,7500.0,100.000200606,2181.382206917296
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,40.000080242399996,10000.0,7500.0,100.000200606,2414.5284604095214
1160,none,overtaking,17000.0,0.0,1.5707963267948966,6.000000000000001,3000.0,50.000100303,10000.0,7500.0,100.000200606,2327.7068271774965
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,4500.0,100.000200606,2155.5511279862662
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,4500.0,100.000200606,2371.1854360296893
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,4500.0,100.000200606,2425.1719946418384
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,6000.0,100.000200606,921.332891511185
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,6000.0,100.000200606,1203.637207136832
1160,violation,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,6000.0,100.000200606,1473.3694640239808
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,30.0000601818,10000.0,7500.0,100.000200606,2240.0693909402953
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,40.000080242399996,10000.0,7500.0,100.000200606,2462.3571776186445
1160,none,overtaking,17000.0,0.0,1.5707963267948966,13.0,3000.0,50.000100303,10000.0,7500.0,100.000200606,2519.74697784622
